"source_list","parent_audit_id","child_audit_id","old_result","verified_context","question_ids","sample_decision","claim"
"公式確認済み・正しい一覧_v2.9.151.csv","A-OTHER-FC72B6479D","A-OTHER-FC72B6479D-01","公式確認済み・正しい","wrong_explanation","16","誤分類候補","a：皮膚に接する器具は客1人ごとに消毒が必要で、見た目が清潔なだけでは足りない。"
"公式確認済み・正しい一覧_v2.9.151.csv","A-OTHER-DAA4BA33FC","A-OTHER-DAA4BA33FC-01","公式確認済み・正しい","wrong_explanation","16","誤分類候補","a：皮膚に接する器具は客1人ごとに消毒が必要で、見た目が清潔なだけでは足りない。"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-C1437949BC","A-OTHER-C1437949BC-02","公式確認済み・誤答理由として適切","correct_explanation","158","誤分類候補","・判断基準：bは正しい。洗浄及び消毒済みの器具と、それらを衛生的かつ安全に収納できるものを携行する。dも正しい。使用済み器具には、安全に収納できる別のものが必要である。aは消毒と区分管理を欠き、cは清潔な器具を再汚染するおそれがあるため誤りである。"
"誤答理由として適切な一覧_v2.9.151.csv","A-OTHER-71204B0A6C","A-OTHER-71204B0A6C-01","公式確認済み・誤答理由として適切","correct_choice|wrong_choice|correct_explanation","398|567|568","誤分類候補","対象、条件、作用又は手順が基準と異なる。判断するときは「使用前後に衛生状態を確認し、必要な消毒又は交換を行う。」及び「頬部は比較的平らでも、毛流と皮膚状態を確認しながら剃る。」を基準とする。"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-6C590ECAC6","A-OTHER-6C590ECAC6-01","誤検出","question|correct_explanation|wrong_explanation","214|425|426|427|428|429|430|432|433|434|435|436|437|438|439|440|441|442|443|444","誤分類候補","消毒法"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-B4846BD802","A-OTHER-B4846BD802-01","誤検出","correct_explanation","162","誤分類候補","・根拠：第3の5"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-474FD9687C","A-OTHER-474FD9687C-01","誤検出","correct_explanation","172","誤分類候補","・根拠：第5の5、第5の6"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-391C040372","A-OTHER-391C040372-01","誤検出","correct_explanation|wrong_explanation","214","誤分類候補","消毒法は、器具の種類、血液付着の有無、消毒薬の濃度及び作用時間を組み合わせて判断し、消毒前の洗浄や消毒後の保管も含めて管理する。薬品名、濃度又は時間の一つだけでは判断できないため、②が正しい。"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-7B473935E1","A-OTHER-7B473935E1-01","誤検出","wrong_choice|wrong_explanation","278","誤分類候補","陰イオン界面活性剤として洗浄と起泡を主に担う"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-D8521AC19D","A-OTHER-D8521AC19D-01","誤検出","question|correct_explanation|wrong_explanation","497","誤分類候補","香粧品化学：非イオン界面活性剤"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-AD7C7A084C","A-OTHER-AD7C7A084C-01","誤検出","correct_explanation|wrong_explanation","492","誤分類候補","【香粧品化学：界面活性剤】"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-F84A441911","A-OTHER-F84A441911-03","誤検出","correct_explanation|wrong_explanation","495","誤分類候補","【香粧品化学：酸・アルカリ】"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-B4D97F5559","A-OTHER-B4D97F5559-01","誤検出","correct_explanation","556","誤分類候補","【理容技術理論：引き出し角度】"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-CF767AC924","A-OTHER-CF767AC924-01","誤検出","question|wrong_choice|wrong_explanation|correct_choice|correct_explanation","58|59|153|181|186|190|191|211|213|440","誤分類候補","消毒方法"
"親監査IDと枝番対応表_v2.9.151.csv","A-OTHER-80C4293D22","A-OTHER-80C4293D22-01","誤検出","correct_choice|correct_explanation|wrong_explanation|question|wrong_choice","190|197|213|278|280|281|282|285|286|287|290|426|428|429|430|437|492|495|496|497","誤分類候補","界面活性剤"
