"parent_audit_id","child_audit_id","rc_class","classification_reason","verified_context","claim","complete_unit","content_id","question_or_title","all_choices","correct_answer_number","explanation_or_body","expected_function_in_question","recorded_source","recorded_url","final_audit_status","correct_answer_impact","safety_impact","release_blocker","release_decision","missing_material","restart_condition"
"A-OTHER-5FA67288CF","A-OTHER-5FA67288CF-02","RC-1","選択肢の真偽又は正答識別へ影響する可能性","wrong_choice","【観点2】住民に身近な保健サービスや健康相談を行う拠点である。","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","なし又は間接的","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-0CB05EF95F","A-OTHER-0CB05EF95F-02","RC-1","選択肢の真偽又は正答識別へ影響する可能性","wrong_choice","【観点2】理容師試験の合否を決定する機関である。","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","なし又は間接的","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-EFB1BB0ADE","A-OTHER-EFB1BB0ADE-02","RC-1","選択肢の真偽又は正答識別へ影響する可能性","wrong_choice","【観点2】製品や皮膚・毛髪に色を与える目的で用いられることがある。","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","なし又は間接的","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-ADE64977B3","A-OTHER-ADE64977B3-02","RC-1","選択肢の真偽又は正答識別へ影響する可能性","wrong_choice","【観点2】製品中の微生物増殖を抑えることを主目的に用いられる。","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","なし又は間接的","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-3702D4CA68","A-OTHER-3702D4CA68-01","RC-1","選択肢の真偽又は正答識別へ影響する可能性","correct_choice","【観点1】陰イオン界面活性剤は、洗浄力や泡立ちに関係し、シャンプー等に用いられる。","yes","495","香粧品成分の「香粧品化学：陰イオン界面活性剤」と「香粧品化学：酸・アルカリ」に関する次の記述のうち、いずれの内容も正しいものはどれか。","1.【観点1】陰イオン界面活性剤は、洗浄力や泡立ちに関係し、シャンプー等に用いられる。
【観点2】水溶液中の溶質の質量百分率を示す指標である。 | 2.【観点1】陽イオン界面活性剤はシャンプーの主洗浄成分として用いられ、毛髪への吸着性をもたない。
【観点2】水溶液の酸性・中性・アルカリ性の程度を示す指標である。 | 3.【観点1】陰イオン界面活性剤は、洗浄力や泡立ちに関係し、シャンプー等に用いられる。
【観点2】水溶液の酸性・中性・アルカリ性の程度を示す指標である。 | 4.【観点1】陽イオン界面活性剤はシャンプーの主洗浄成分として用いられ、毛髪への吸着性をもたない。
【観点2】水溶液中の溶質の質量百分率を示す指標である。","3","【香粧品化学：陰イオン界面活性剤】
・陰イオン界面活性剤は、洗浄力や泡立ちに関係し、シャンプー等に用いられる。 【香粧品化学：酸・アルカリ】
・水溶液の酸性・中性・アルカリ性の程度を示す指標である。 対象、条件、作用又は手順を取り違えないように整理する。","正しい記述として機能","医薬品医療機器等法・化粧品基準","https://laws.e-gov.go.jp/law/335AC0000000145","完全問題単位確認済み・一次資料箇所待ち","未解決の可能性あり","なし又は間接的","あり","一次資料の具体的箇所を固定後に再判定","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-3702D4CA68","A-OTHER-3702D4CA68-02","RC-1","選択肢の真偽又は正答識別へ影響する可能性","wrong_choice","【観点2】水溶液中の溶質の質量百分率を示す指標である。","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","なし又は間接的","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-69D3EA1470","A-OTHER-69D3EA1470-02","RC-1","選択肢の真偽又は正答識別へ影響する可能性","wrong_choice","【観点2】水溶液の酸性・中性・アルカリ性の程度を示す指標である。","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","なし又は間接的","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-196566A8E3","A-OTHER-196566A8E3-01","RC-1","選択肢の真偽又は正答識別へ影響する可能性","correct_choice","【観点1】陰イオン界面活性剤は、洗浄力や泡立ちに関係し、シャンプー等に用いられる。","yes","495","香粧品成分の「香粧品化学：陰イオン界面活性剤」と「香粧品化学：酸・アルカリ」に関する次の記述のうち、いずれの内容も正しいものはどれか。","1.【観点1】陰イオン界面活性剤は、洗浄力や泡立ちに関係し、シャンプー等に用いられる。
【観点2】水溶液中の溶質の質量百分率を示す指標である。 | 2.【観点1】陽イオン界面活性剤はシャンプーの主洗浄成分として用いられ、毛髪への吸着性をもたない。
【観点2】水溶液の酸性・中性・アルカリ性の程度を示す指標である。 | 3.【観点1】陰イオン界面活性剤は、洗浄力や泡立ちに関係し、シャンプー等に用いられる。
【観点2】水溶液の酸性・中性・アルカリ性の程度を示す指標である。 | 4.【観点1】陽イオン界面活性剤はシャンプーの主洗浄成分として用いられ、毛髪への吸着性をもたない。
【観点2】水溶液中の溶質の質量百分率を示す指標である。","3","【香粧品化学：陰イオン界面活性剤】
・陰イオン界面活性剤は、洗浄力や泡立ちに関係し、シャンプー等に用いられる。 【香粧品化学：酸・アルカリ】
・水溶液の酸性・中性・アルカリ性の程度を示す指標である。 対象、条件、作用又は手順を取り違えないように整理する。","正しい記述として機能","医薬品医療機器等法・化粧品基準","https://laws.e-gov.go.jp/law/335AC0000000145","完全問題単位確認済み・一次資料箇所待ち","未解決の可能性あり","なし又は間接的","あり","一次資料の具体的箇所を固定後に再判定","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-196566A8E3","A-OTHER-196566A8E3-02","RC-1","選択肢の真偽又は正答識別へ影響する可能性","wrong_choice","【観点2】水溶液の酸性・中性・アルカリ性の程度を示す指標である。","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","なし又は間接的","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-470C11BFAD","A-OTHER-470C11BFAD-02","RC-1","選択肢の真偽又は正答識別へ影響する可能性","wrong_choice","【観点2】水溶液中の溶質の質量百分率を示す指標である。","ambiguous","","","","","","誤った記述として機能","","","完全単位未特定・監修確認中","未解決の可能性あり","なし又は間接的","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
