"parent_audit_id","child_audit_id","rc_class","classification_reason","verified_context","claim","complete_unit","content_id","question_or_title","all_choices","correct_answer_number","explanation_or_body","expected_function_in_question","recorded_source","recorded_url","final_audit_status","correct_answer_impact","safety_impact","release_blocker","release_decision","missing_material","restart_condition"
"A-OTHER-00F6B43233","A-OTHER-00F6B43233-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_choice","感染症のまん延防止のため、病原体に汚染され、又は汚染された疑いがある場所の消毒等が命じられることがある","yes","81","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された場所の消毒等について、正しいものはどれか。","1.感染症のまん延防止のため、病原体に汚染され、又は汚染された疑いがある場所の消毒等が命じられることがある | 2.感染症のまん延防止のため、病原体による汚染が確認された場所に限り、消毒等が命じられることがある | 3.感染症のまん延防止のため、病原体に汚染された場所の所有者が同意した場合に限り、消毒等が命じられる | 4.感染症のまん延防止のため、病原体に汚染された物件を対象として、場所の消毒等が命じられる","1","・根拠：感染症法第27条
・判断基準：感染症法第27条は、感染症の病原体に汚染され、又は汚染された疑いがある場所の消毒等を定める。汚染の確認済みの場合だけに限定せず、場所の所有者の同意を要件とするものでも、対象を物件だけとするものでもない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","正しい記述として機能","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","完全問題単位確認済み・一次資料箇所待ち","未解決の可能性あり","未解決の可能性あり","あり","一次資料の具体的箇所を固定後に再判定","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-9115B41714","A-OTHER-9115B41714-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_choice","感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の措置がとられることがある","yes","83","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された物件の措置について、正しいものはどれか。","1.病原体による汚染が確認された物件には消毒及び廃棄を行えるが、汚染の疑いがある物件には移動制限のみを行う | 2.感染症の病原体に汚染された物件について、消毒の措置はとられるが、移動制限や廃棄の措置はとられない | 3.感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の措置がとられることがある | 4.感染症の病原体に汚染された物件であっても、患者本人が所有する物件は措置の対象にならない","3","・根拠：感染症法第29条
・判断基準：感染症法第29条は、感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の必要な措置を定める。汚染疑いの物件や患者本人の所有物を一律に除外する規定ではなく、措置を消毒だけに限定するものでもない。 汚染された疑いがある物件も対象となり得て、措置を移動制限に限定する規定ではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","正しい記述として機能","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","完全問題単位確認済み・一次資料箇所待ち","未解決の可能性あり","未解決の可能性あり","あり","一次資料の具体的箇所を固定後に再判定","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-3DB12095DA","A-OTHER-3DB12095DA-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","「洗浄及び消毒済みの器具と、それらを衛生的かつ安全に収納できるものを携行する。」は規定と一致する。「使用済みの器具を安全に収納できるものを携行する。」は規定と一致する。組合せとして成立する。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-361E3437C9","A-OTHER-361E3437C9-02","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","・判断基準：衛生管理要領第3の4は外傷に対する救急処置に必要な薬品及び衛生材料を、第3の5は手洗いに必要な石ケン、消毒液等を携行することと定めている。したがって","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-59C9925E59","A-OTHER-59C9925E59-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","「外傷に対する救急処置に必要な薬品及び衛生材料を携行する。」は規定と一致する。「手洗いに必要な石ケン、消毒液等を携行する。」は規定と一致する。組合せとして成立する。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-B4846BD802","A-OTHER-B4846BD802-02","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","・判断基準：衛生管理要領第3の5は、手洗いに必要な石ケン、消毒液等を携行することと定めている。したがって 携行品として求められるのは、手洗いに必要な石ケン、消毒液等である。出張先の備品や手袋によって必要な携行品を代替するものではない。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-206C4CAF34","A-OTHER-206C4CAF34-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_choice","「手洗いに必要な石ケン、消毒液等」は規定または制度の内容と一致する。根拠は第3の5。","yes","162","手洗いに関して、出張理容で携行すべきものはどれか。","1.石ケン及び使い捨て手袋を携行し、消毒液は出張先の設備を使用する | 2.手洗いに必要な石ケン、消毒液等 | 3.石ケン及び消毒液を携行し、流水設備は出張先にあることを事前に確認する | 4.手指消毒剤及び使い捨て手袋を携行し、流水設備がない場合は手指消毒で代替する","2","・根拠：第3の5
・判断基準：衛生管理要領第3の5は、手洗いに必要な石ケン、消毒液等を携行することと定めている。したがって 携行品として求められるのは、手洗いに必要な石ケン、消毒液等である。出張先の備品や手袋によって必要な携行品を代替するものではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","正しい記述として機能","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","完全問題単位確認済み・一次資料箇所待ち","未解決の可能性あり","未解決の可能性あり","あり","一次資料の具体的箇所を固定後に再判定","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-0B0F4E447A","A-OTHER-0B0F4E447A-02","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","・判断基準：同要領第4の1（2）は、作業終了後に作業場の清掃を十分行い、清潔にすることを定める。また、第4の2（1）は、洗浄及び消毒済みの器具類等を使用済みのものと区別して保管することを定める。","yes","164","次の記述のうち、出張理容・出張美容の作業場及び携行品の管理について正しいものの組合せはどれか。



a. 作業終了後は、作業場の清掃を十分に行い、清潔にする。

b. 洗浄及び消毒済みの器具類等は、使用済みのものと区別して保管する。

c. 同じ場所で複数の客を扱う場合は、器具の交換時に作業場を清掃する。

d. 使用済み器具は、表面を拭き取れば洗浄及び消毒済み器具と同じ収納ケースに保管してよい。","1.c・d | 2.a・c | 3.a・b | 4.a・d","3","・根拠：第4の1（2）、第4の2（1）
・判断基準：同要領第4の1（2）は、作業終了後に作業場の清掃を十分行い、清潔にすることを定める。また、第4の2（1）は、洗浄及び消毒済みの器具類等を使用済みのものと区別して保管することを定める。 作業終了後は作業場を十分に清掃して清潔にし、洗浄・消毒済み器具と使用済み器具を区別する。器具交換時の清掃に置き換えるものではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","監修確認中","未解決の可能性あり","未解決の可能性あり","あり","保留","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-0B0F4E447A","A-OTHER-0B0F4E447A-03","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","作業終了後は作業場を十分に清掃して清潔にし、洗浄・消毒済み器具と使用済み器具を区別する。器具交換時の清掃に置き換えるものではない。","yes","164","次の記述のうち、出張理容・出張美容の作業場及び携行品の管理について正しいものの組合せはどれか。



a. 作業終了後は、作業場の清掃を十分に行い、清潔にする。

b. 洗浄及び消毒済みの器具類等は、使用済みのものと区別して保管する。

c. 同じ場所で複数の客を扱う場合は、器具の交換時に作業場を清掃する。

d. 使用済み器具は、表面を拭き取れば洗浄及び消毒済み器具と同じ収納ケースに保管してよい。","1.c・d | 2.a・c | 3.a・b | 4.a・d","3","・根拠：第4の1（2）、第4の2（1）
・判断基準：同要領第4の1（2）は、作業終了後に作業場の清掃を十分行い、清潔にすることを定める。また、第4の2（1）は、洗浄及び消毒済みの器具類等を使用済みのものと区別して保管することを定める。 作業終了後は作業場を十分に清掃して清潔にし、洗浄・消毒済み器具と使用済み器具を区別する。器具交換時の清掃に置き換えるものではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","監修確認中","未解決の可能性あり","未解決の可能性あり","あり","保留","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
"A-OTHER-9F605D21A2","A-OTHER-9F605D21A2-01","RC-2","器具・消毒・薬剤等の安全な取扱いへ影響する可能性","correct_explanation","「作業終了後は、作業場の清掃を十分に行い、清潔にする。」は規定と一致する。「洗浄及び消毒済みの器具類等は、使用済みのものと区別して保管する。」は規定と一致する。組合せとして成立する。","ambiguous","","","","","","","","","完全単位未特定・監修確認中","未解決の可能性あり","未解決の可能性あり","あり","完全単位の特定が必要","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合"
