"parent_audit_id","child_audit_id","old_context","verified_context","claim","impact_class","classification_reason","complete_unit","content_id","question_or_title","all_choices","correct_answer_number","explanation_or_body","recorded_source","recorded_url","audit_result","revision","audit_reason","missing_material","restart_condition","unit_note"
"A-OTHER-00F6B43233","A-OTHER-00F6B43233-01","wrong_choice","correct_choice","感染症のまん延防止のため、病原体に汚染され、又は汚染された疑いがある場所の消毒等が命じられることがある","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","81","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された場所の消毒等について、正しいものはどれか。","1.感染症のまん延防止のため、病原体に汚染され、又は汚染された疑いがある場所の消毒等が命じられることがある | 2.感染症のまん延防止のため、病原体による汚染が確認された場所に限り、消毒等が命じられることがある | 3.感染症のまん延防止のため、病原体に汚染された場所の所有者が同意した場合に限り、消毒等が命じられる | 4.感染症のまん延防止のため、病原体に汚染された物件を対象として、場所の消毒等が命じられる","1","・根拠：感染症法第27条
・判断基準：感染症法第27条は、感染症の病原体に汚染され、又は汚染された疑いがある場所の消毒等を定める。汚染の確認済みの場合だけに限定せず、場所の所有者の同意を要件とするものでも、対象を物件だけとするものでもない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","監修確認中","保留","完全単位は取得できたが、収録URLだけでは当該主張を直接裏付ける条項・通知箇所を固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","問題集の完全問題単位を取得"
"A-OTHER-882EBA46E1","A-OTHER-882EBA46E1-01","wrong_choice","wrong_choice","感染症のまん延防止のため、病原体に汚染された物件を対象として、場所の消毒等が命じられる","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","81","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された場所の消毒等について、正しいものはどれか。","1.感染症のまん延防止のため、病原体に汚染され、又は汚染された疑いがある場所の消毒等が命じられることがある | 2.感染症のまん延防止のため、病原体による汚染が確認された場所に限り、消毒等が命じられることがある | 3.感染症のまん延防止のため、病原体に汚染された場所の所有者が同意した場合に限り、消毒等が命じられる | 4.感染症のまん延防止のため、病原体に汚染された物件を対象として、場所の消毒等が命じられる","1","・根拠：感染症法第27条
・判断基準：感染症法第27条は、感染症の病原体に汚染され、又は汚染された疑いがある場所の消毒等を定める。汚染の確認済みの場合だけに限定せず、場所の所有者の同意を要件とするものでも、対象を物件だけとするものでもない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","公式確認済み・問題上の意図的な誤答","修正不要","完全問題単位で誤答位置と正答番号を確認し、問題に記録された公的一次資料との対応を確認","","","問題集の完全問題単位を取得"
"A-OTHER-8F02C90A39","A-OTHER-8F02C90A39-01","wrong_choice","wrong_choice","感染症の病原体に汚染された物件について、消毒の措置はとられるが、移動制限や廃棄の措置はとられない","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","83","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された物件の措置について、正しいものはどれか。","1.病原体による汚染が確認された物件には消毒及び廃棄を行えるが、汚染の疑いがある物件には移動制限のみを行う | 2.感染症の病原体に汚染された物件について、消毒の措置はとられるが、移動制限や廃棄の措置はとられない | 3.感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の措置がとられることがある | 4.感染症の病原体に汚染された物件であっても、患者本人が所有する物件は措置の対象にならない","3","・根拠：感染症法第29条
・判断基準：感染症法第29条は、感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の必要な措置を定める。汚染疑いの物件や患者本人の所有物を一律に除外する規定ではなく、措置を消毒だけに限定するものでもない。 汚染された疑いがある物件も対象となり得て、措置を移動制限に限定する規定ではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","公式確認済み・問題上の意図的な誤答","修正不要","完全問題単位で誤答位置と正答番号を確認し、問題に記録された公的一次資料との対応を確認","","","問題集の完全問題単位を取得"
"A-OTHER-9115B41714","A-OTHER-9115B41714-01","wrong_choice","correct_choice","感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の措置がとられることがある","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","83","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された物件の措置について、正しいものはどれか。","1.病原体による汚染が確認された物件には消毒及び廃棄を行えるが、汚染の疑いがある物件には移動制限のみを行う | 2.感染症の病原体に汚染された物件について、消毒の措置はとられるが、移動制限や廃棄の措置はとられない | 3.感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の措置がとられることがある | 4.感染症の病原体に汚染された物件であっても、患者本人が所有する物件は措置の対象にならない","3","・根拠：感染症法第29条
・判断基準：感染症法第29条は、感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の必要な措置を定める。汚染疑いの物件や患者本人の所有物を一律に除外する規定ではなく、措置を消毒だけに限定するものでもない。 汚染された疑いがある物件も対象となり得て、措置を移動制限に限定する規定ではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","監修確認中","保留","完全単位は取得できたが、収録URLだけでは当該主張を直接裏付ける条項・通知箇所を固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","問題集の完全問題単位を取得"
"A-OTHER-44ECB0EC48","A-OTHER-44ECB0EC48-01","wrong_choice","wrong_choice","器具の消毒方法及び携行品の管理を統一し、従業者の健康管理は理容所等の衛生管理要領に委ねる","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","","消毒方法","","","理容師法施行規則 第二十五条。器具の種類や汚染状況に応じ、煮沸、エタノール、次亜塩素酸ナトリウム等で消毒。","","","参考資料確認済み・問題上の意図的な誤答","修正不要","完全問題単位で誤答位置と正答番号の整合を確認。公的一次資料の固定が不足","該当主張を直接裏付ける公的一次資料","一次資料の条項・通知箇所を特定後に公式確認へ更新","教材の完全項目を取得"
"A-OTHER-3DB12095DA","A-OTHER-3DB12095DA-01","correct_explanation","correct_explanation","「洗浄及び消毒済みの器具と、それらを衛生的かつ安全に収納できるものを携行する。」は規定と一致する。「使用済みの器具を安全に収納できるものを携行する。」は規定と一致する。組合せとして成立する。","A1","正解解説の法令・数値・安全基準で正答理解へ直接影響","ambiguous","","","","","","","","監修確認中","保留","同一文が複数問題で再利用され、対象問題を一意に固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","同一文が問題集2問で再利用"
"A-OTHER-361E3437C9","A-OTHER-361E3437C9-02","correct_explanation","correct_explanation","・判断基準：衛生管理要領第3の4は外傷に対する救急処置に必要な薬品及び衛生材料を、第3の5は手洗いに必要な石ケン、消毒液等を携行することと定めている。したがって","A1","正解解説の法令・数値・安全基準で正答理解へ直接影響","ambiguous","","","","","","","","監修確認中","保留","同一文が複数問題で再利用され、対象問題を一意に固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","同一文が問題集3問で再利用"
"A-OTHER-59C9925E59","A-OTHER-59C9925E59-01","correct_explanation","correct_explanation","「外傷に対する救急処置に必要な薬品及び衛生材料を携行する。」は規定と一致する。「手洗いに必要な石ケン、消毒液等を携行する。」は規定と一致する。組合せとして成立する。","A1","正解解説の法令・数値・安全基準で正答理解へ直接影響","ambiguous","","","","","","","","監修確認中","保留","同一文が複数問題で再利用され、対象問題を一意に固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","同一文が問題集2問で再利用"
"A-OTHER-23EDE5CC42","A-OTHER-23EDE5CC42-01","wrong_choice","wrong_choice","石ケン及び使い捨て手袋を携行し、消毒液は出張先の設備を使用する","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","162","手洗いに関して、出張理容で携行すべきものはどれか。","1.石ケン及び使い捨て手袋を携行し、消毒液は出張先の設備を使用する | 2.手洗いに必要な石ケン、消毒液等 | 3.石ケン及び消毒液を携行し、流水設備は出張先にあることを事前に確認する | 4.手指消毒剤及び使い捨て手袋を携行し、流水設備がない場合は手指消毒で代替する","2","・根拠：第3の5
・判断基準：衛生管理要領第3の5は、手洗いに必要な石ケン、消毒液等を携行することと定めている。したがって 携行品として求められるのは、手洗いに必要な石ケン、消毒液等である。出張先の備品や手袋によって必要な携行品を代替するものではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","公式確認済み・問題上の意図的な誤答","修正不要","完全問題単位で誤答位置と正答番号を確認し、問題に記録された公的一次資料との対応を確認","","","問題集の完全問題単位を取得"
"A-OTHER-268824F530","A-OTHER-268824F530-01","wrong_choice","wrong_choice","手洗いに必要な石ケン、消毒液等","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","","第3　携行品等","","","第3 携行品等 出張理容・出張美容を行う際には、次の器具等を携行すること。 1 洗浄及び消毒済みのはさみ等の理容器具・美容器具と、これらを衛生的 かつ安全に収納できるもの 2 使用済みのはさみ等の理容器具・美容器具を、安全に収納できるもの 3 消毒された布片類・タオルと、これらを衛生的に収納できるもの 4 外傷に対する救急処置に必要な薬品及び衛生材料 5 手洗いに必要な石ケン、消毒液等","","","参考資料確認済み・問題上の意図的な誤答","修正不要","完全問題単位で誤答位置と正答番号の整合を確認。公的一次資料の固定が不足","該当主張を直接裏付ける公的一次資料","一次資料の条項・通知箇所を特定後に公式確認へ更新","教材の完全項目を取得"
