"parent_audit_id","child_audit_id","old_context","verified_context","claim","impact_class","classification_reason","complete_unit","content_id","question_or_title","all_choices","correct_answer_number","explanation_or_body","recorded_source","recorded_url","audit_result","revision","audit_reason","missing_material","restart_condition","unit_note"
"A-OTHER-FC72B6479D","A-OTHER-FC72B6479D-02","correct_explanation","wrong_explanation","b：伝染性疾病時の措置は免許の効力停止ではなく、都道府県知事による期間を定めた業務停止である。","A2","解説品質・理解には影響するが正答番号を直接変更しない","yes","16","次の記述のうち、理容師の衛生措置及び業務停止について正しいものの組合せはどれか。



a. 皮膚に接する器具は、見た目に汚れがなければ洗浄して使用する。

b. 理容師が伝染性の疾病にかかり、その就業が公衆衛生上不適当と認められるときは、都道府県知事は期間を定めて理容師免許の効力を停止する。

c. 理容師は、理容を行うときは、皮膚に接する布片及び器具を清潔に保たなければならない。

d. 都道府県知事は、理容師が伝染性の疾病にかかり、その就業が公衆衛生上不適当と認められるときは、期間を定めて業務停止を命ずることができる。","1.a・b | 2.c・d | 3.a・c | 4.a・d","2","・判断基準：理容師法第9条は、理容師に、皮膚に接する布片及び器具を清潔に保つことや、客1人ごとの布片の交換及び器具の消毒を求める。第10条第2項は、理容師が伝染性の疾病にかかり、就業が公衆衛生上不適当と認められるときに、都道府県知事が期間を定めて業務を停止できると定める。免許の効力停止とするbは誤りである。
・根拠：理容師法第9条、第10条第2項。
・注意点：主体、時期、要件又は処分の種類を入れ替えた記述に注意する。","理容師法・理容師法施行規則","https://laws.e-gov.go.jp/law/322AC0000000234","監修確認中","保留","完全単位は取得できたが、収録URLだけでは当該主張を直接裏付ける条項・通知箇所を固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","問題集の完全問題単位を取得"
"A-OTHER-FC72B6479D","A-OTHER-FC72B6479D-03","correct_explanation","correct_explanation","少なくとも一方が条文と一致しないため、この組合せは成立しない。","A2","解説品質・理解には影響するが正答番号を直接変更しない","ambiguous","","","","","","","","監修確認中","保留","同一文が複数問題で再利用され、対象問題を一意に固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","同一文が問題集10問で再利用"
"A-OTHER-DAA4BA33FC","A-OTHER-DAA4BA33FC-03","correct_explanation","correct_explanation","少なくとも一方が条文と一致しないため、この組合せは成立しない。","A2","解説品質・理解には影響するが正答番号を直接変更しない","ambiguous","","","","","","","","監修確認中","保留","同一文が複数問題で再利用され、対象問題を一意に固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","同一文が問題集10問で再利用"
"A-OTHER-00F6B43233","A-OTHER-00F6B43233-01","wrong_choice","correct_choice","感染症のまん延防止のため、病原体に汚染され、又は汚染された疑いがある場所の消毒等が命じられることがある","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","81","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された場所の消毒等について、正しいものはどれか。","1.感染症のまん延防止のため、病原体に汚染され、又は汚染された疑いがある場所の消毒等が命じられることがある | 2.感染症のまん延防止のため、病原体による汚染が確認された場所に限り、消毒等が命じられることがある | 3.感染症のまん延防止のため、病原体に汚染された場所の所有者が同意した場合に限り、消毒等が命じられる | 4.感染症のまん延防止のため、病原体に汚染された物件を対象として、場所の消毒等が命じられる","1","・根拠：感染症法第27条
・判断基準：感染症法第27条は、感染症の病原体に汚染され、又は汚染された疑いがある場所の消毒等を定める。汚染の確認済みの場合だけに限定せず、場所の所有者の同意を要件とするものでも、対象を物件だけとするものでもない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","監修確認中","保留","完全単位は取得できたが、収録URLだけでは当該主張を直接裏付ける条項・通知箇所を固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","問題集の完全問題単位を取得"
"A-OTHER-882EBA46E1","A-OTHER-882EBA46E1-01","wrong_choice","wrong_choice","感染症のまん延防止のため、病原体に汚染された物件を対象として、場所の消毒等が命じられる","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","81","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された場所の消毒等について、正しいものはどれか。","1.感染症のまん延防止のため、病原体に汚染され、又は汚染された疑いがある場所の消毒等が命じられることがある | 2.感染症のまん延防止のため、病原体による汚染が確認された場所に限り、消毒等が命じられることがある | 3.感染症のまん延防止のため、病原体に汚染された場所の所有者が同意した場合に限り、消毒等が命じられる | 4.感染症のまん延防止のため、病原体に汚染された物件を対象として、場所の消毒等が命じられる","1","・根拠：感染症法第27条
・判断基準：感染症法第27条は、感染症の病原体に汚染され、又は汚染された疑いがある場所の消毒等を定める。汚染の確認済みの場合だけに限定せず、場所の所有者の同意を要件とするものでも、対象を物件だけとするものでもない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","公式確認済み・問題上の意図的な誤答","修正不要","完全問題単位で誤答位置と正答番号を確認し、問題に記録された公的一次資料との対応を確認","","","問題集の完全問題単位を取得"
"A-OTHER-8F02C90A39","A-OTHER-8F02C90A39-01","wrong_choice","wrong_choice","感染症の病原体に汚染された物件について、消毒の措置はとられるが、移動制限や廃棄の措置はとられない","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","83","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された物件の措置について、正しいものはどれか。","1.病原体による汚染が確認された物件には消毒及び廃棄を行えるが、汚染の疑いがある物件には移動制限のみを行う | 2.感染症の病原体に汚染された物件について、消毒の措置はとられるが、移動制限や廃棄の措置はとられない | 3.感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の措置がとられることがある | 4.感染症の病原体に汚染された物件であっても、患者本人が所有する物件は措置の対象にならない","3","・根拠：感染症法第29条
・判断基準：感染症法第29条は、感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の必要な措置を定める。汚染疑いの物件や患者本人の所有物を一律に除外する規定ではなく、措置を消毒だけに限定するものでもない。 汚染された疑いがある物件も対象となり得て、措置を移動制限に限定する規定ではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","公式確認済み・問題上の意図的な誤答","修正不要","完全問題単位で誤答位置と正答番号を確認し、問題に記録された公的一次資料との対応を確認","","","問題集の完全問題単位を取得"
"A-OTHER-9115B41714","A-OTHER-9115B41714-01","wrong_choice","correct_choice","感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の措置がとられることがある","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","83","感染症法に基づく、一類から四類感染症又は新型インフルエンザ等感染症の病原体に汚染された物件の措置について、正しいものはどれか。","1.病原体による汚染が確認された物件には消毒及び廃棄を行えるが、汚染の疑いがある物件には移動制限のみを行う | 2.感染症の病原体に汚染された物件について、消毒の措置はとられるが、移動制限や廃棄の措置はとられない | 3.感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の措置がとられることがある | 4.感染症の病原体に汚染された物件であっても、患者本人が所有する物件は措置の対象にならない","3","・根拠：感染症法第29条
・判断基準：感染症法第29条は、感染症の病原体に汚染され、又は汚染された疑いがある物件について、移動制限、消毒、廃棄等の必要な措置を定める。汚染疑いの物件や患者本人の所有物を一律に除外する規定ではなく、措置を消毒だけに限定するものでもない。 汚染された疑いがある物件も対象となり得て、措置を移動制限に限定する規定ではない。
・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","厚生労働省「感染症情報」・感染症法","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/index.html","監修確認中","保留","完全単位は取得できたが、収録URLだけでは当該主張を直接裏付ける条項・通知箇所を固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","問題集の完全問題単位を取得"
"A-OTHER-44ECB0EC48","A-OTHER-44ECB0EC48-01","wrong_choice","wrong_choice","器具の消毒方法及び携行品の管理を統一し、従業者の健康管理は理容所等の衛生管理要領に委ねる","A1","選択肢又は公式過去問として正答判定へ直接影響","yes","","消毒方法","","","理容師法施行規則 第二十五条。器具の種類や汚染状況に応じ、煮沸、エタノール、次亜塩素酸ナトリウム等で消毒。","","","参考資料確認済み・問題上の意図的な誤答","修正不要","完全問題単位で誤答位置と正答番号の整合を確認。公的一次資料の固定が不足","該当主張を直接裏付ける公的一次資料","一次資料の条項・通知箇所を特定後に公式確認へ更新","教材の完全項目を取得"
"A-OTHER-C1437949BC","A-OTHER-C1437949BC-03","correct_explanation","correct_explanation","・注意点：主体、対象、要件、数値、期間、原則と例外を区別して判断する。","A2","解説品質・理解には影響するが正答番号を直接変更しない","ambiguous","","","","","","","","監修確認中","保留","同一文が複数問題で再利用され、対象問題を一意に固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","同一文が問題集140問で再利用"
"A-OTHER-3DB12095DA","A-OTHER-3DB12095DA-01","correct_explanation","correct_explanation","「洗浄及び消毒済みの器具と、それらを衛生的かつ安全に収納できるものを携行する。」は規定と一致する。「使用済みの器具を安全に収納できるものを携行する。」は規定と一致する。組合せとして成立する。","A1","正解解説の法令・数値・安全基準で正答理解へ直接影響","ambiguous","","","","","","","","監修確認中","保留","同一文が複数問題で再利用され、対象問題を一意に固定できない","主張を直接裏付ける条項・項・号又は通知の該当箇所","一次資料の具体的箇所を固定後、完全単位で再照合","同一文が問題集2問で再利用"
